Description,Accession,ALL_19769_B-cell,,ALL_23953_B-cell,,ALL_28373_B-cell,,ALL_9335_B-cell,,ALL_9692_B-cell,,ALL_14749_B-cell,,ALL_17281_B-cell,,ALL_19183_B-cell,,ALL_20414_B-cell,,ALL_21302_B-cell,,ALL_549_B-cell,,ALL_17929_B-cell,,ALL_20185_B-cell,,ALL_11103_B-cell,,ALL_18239_B-cell,,ALL_5982_B-cell,,ALL_7092_B-cell,,ALL_R11_B-cell,,ALL_R23_B-cell,,ALL_16415_T-cell,,ALL_19881_T-cell,,ALL_9186_T-cell,,ALL_9723_T-cell,,ALL_17269_T-cell,,ALL_14402_T-cell,,ALL_17638_T-cell,,ALL_22474_T-cell,,AML_12,,AML_13,,AML_14,,AML_16,,AML_20,,AML_1,,AML_2,,AML_3,,AML_5,,AML_6,,AML_7,,"
"
EEF1G Translation elongation factor 1 gamma,M11353_at,14913,P,14619,P,14573,P,14649,P,17008,P,9183,P,12586,P,13228,P,14485,P,16092,P,4215,P,11166,P,16812,P,17227,P,11359,P,15896,P,7077,P,8794,P,13122,P,14924,P,19770,P,10619,P,15045,P,9427,P,15489,P,16065,P,10126,P,9208,P,10726,P,9410,P,13233,P,10435,P,11837,P,7934,P,8474,P,10303,P,14906,P,9106,P,"
"
ESD Esterase D/formylglutathione hydrolase,M13450_at,2149,P,2192,P,2172,P,2409,P,1152,P,829,P,1711,P,2262,P,1466,P,3122,P,901,P,870,P,3565,P,1215,P,881,P,3018,P,1658,P,1354,P,976,P,1870,P,3233,P,1625,P,3795,P,1508,P,3109,P,1866,P,1427,P,1634,P,1315,P,999,P,1333,P,1295,P,1728,P,920,P,1280,P,1144,P,1522,P,1768,P,"
"
ADA Adenosine deaminase,M13792_at,3221,P,5364,P,2837,P,6067,P,3103,P,1695,P,4765,P,9000,P,10228,P,8464,P,2091,P,2274,P,12213,P,2973,P,1743,P,5981,P,2425,P,3323,P,2617,P,10954,P,16523,P,16135,P,15230,P,8986,P,8629,P,3529,P,12900,P,912,P,2551,P,1299,P,752,P,2707,P,2493,P,487,P,769,P,1613,P,4148,P,1445,P,"
"
RPS14 gene (ribosomal protein S14) extracted from Human ribosomal protein S14 gene,M13934_cds2_at,14108,P,15496,P,15002,P,17769,P,14009,P,19080,P,13783,P,14792,P,15913,P,9273,P,15968,P,17915,P,14515,P,3070,P,16167,P,15575,P,15882,P,15302,P,16948,P,12913,P,16060,P,16775,P,16462,P,17697,P,17066,P,16001,P,17407,P,16155,P,17757,P,17020,P,17367,P,18178,P,16524,P,18982,P,15605,P,19472,P,11917,P,17058,P,"
"
"GUSB Glucuronidase, beta",M15182_at,1491,P,819,P,1209,P,947,P,698,P,768,P,1055,P,1369,P,938,P,1166,P,634,P,814,P,3495,P,1069,P,589,P,1310,P,687,P,1004,P,611,P,845,P,1354,P,967,P,1587,P,860,P,784,P,1265,P,970,P,1416,P,1000,P,1744,P,1467,P,854,P,1031,P,1241,P,2606,P,2005,P,1055,P,765,P,"
"
RPL44 Ribosomal protein L44,M15661_at,926,P,1407,P,1346,P,1371,P,404,P,1007,P,911,P,1895,P,979,P,676,P,1294,P,977,P,2624,P,2020,P,672,P,1829,P,659,P,759,P,693,P,1646,P,1723,P,1477,P,1891,P,1083,P,3407,P,1467,P,1027,P,1414,P,949,P,1304,P,2134,P,1255,P,1399,P,2159,P,1723,P,1489,P,1086,P,2448,P,"
"
Thymosin beta-4 mRNA,M17733_at,14223,P,15790,P,15470,P,18804,P,17173,P,25623,P,18530,P,17499,P,19989,P,15076,P,23354,P,14427,P,14830,P,20840,P,10034,P,18546,P,16070,P,14955,P,12984,P,17650,P,21790,P,29496,P,17821,P,21885,P,17788,P,14919,P,21603,P,13910,P,13424,P,17359,P,14383,P,15137,P,11442,P,10320,P,16797,P,14025,P,15936,P,17196,P,"
"
"RPLP0 Ribosomal protein, large, P0",M17885_at,20663,P,23052,P,22863,P,19900,P,26800,P,28621,P,21474,P,23891,P,25395,P,22129,P,26443,P,23303,P,15226,P,24694,P,23083,P,23082,P,26230,P,23628,P,28290,P,23952,P,21865,P,27994,P,19759,P,28046,P,25522,P,23810,P,27360,P,23055,P,25309,P,23345,P,24565,P,22199,P,23444,P,30359,P,22411,P,28348,P,25089,P,22333,P,"
"
"RPLP1 Ribosomal protein, large, P1",M17886_at,14744,P,17036,P,16806,P,16958,P,18211,P,25215,P,18877,P,16858,P,17860,P,15032,P,20834,P,20227,P,12940,P,17086,P,18915,P,17151,P,19904,P,18342,P,23494,P,16712,P,16725,P,23456,P,16108,P,20933,P,19731,P,17723,P,22439,P,18298,P,27469,P,20532,P,17863,P,18827,P,16670,P,25145,P,15912,P,21940,P,17658,P,16643,P,"
"
40S RIBOSOMAL PROTEIN S17,M18000_at,17748,P,19994,P,17680,P,18971,P,15778,P,22068,P,17259,P,20365,P,21279,P,17548,P,23021,P,21418,P,19278,P,29485,P,17537,P,19389,P,22677,P,20719,P,24395,P,21825,P,16886,P,19997,P,22218,P,21805,P,20864,P,22061,P,21174,P,22010,P,18846,P,16364,P,20221,P,20399,P,20907,P,23994,P,20407,P,21747,P,20718,P,18246,P,"
"
"ACTG1 Actin, gamma 1",M19283_at,6284,P,10677,P,15517,P,7851,P,7431,P,3904,P,11615,P,14695,P,11917,P,14830,P,14418,P,6943,P,16621,P,3575,P,11047,P,10929,P,6534,P,10244,P,8757,P,14069,P,13349,P,6638,P,16353,P,9855,P,9458,P,7290,P,9962,P,7375,P,4453,P,10642,P,5343,P,5784,P,8748,P,11207,P,13617,P,8768,P,8029,P,6109,P,"
"
"ATP5B ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide",M19483_at,2810,P,3740,P,5879,P,3136,P,2794,P,2010,P,3427,P,5142,P,3912,P,5049,P,1995,P,3633,P,8608,P,1585,P,2364,P,5018,P,2456,P,2734,P,2296,P,5085,P,4600,P,2692,P,6233,P,4941,P,4055,P,4459,P,2382,P,3748,P,2308,P,3372,P,3104,P,3244,P,3605,P,3329,P,5138,P,3244,P,2260,P,2493,P,"
"
CLTA Clathrin light chain A,M20471_at,957,P,1856,P,2698,P,1920,P,812,P,651,P,1633,P,2784,P,1438,P,1274,P,1426,P,1493,P,3981,P,3390,P,377,P,2173,P,427,P,543,P,941,P,1357,P,795,P,969,P,1788,P,993,P,524,P,1376,P,595,P,1517,P,1238,P,1266,P,1209,P,728,P,1231,P,1324,P,1659,P,1725,P,851,P,779,P,"
"
SNRPE Small nuclear ribonucleoprotein polypeptide E,M21259_at,1716,P,2284,P,3467,P,1330,P,1894,P,1158,P,1918,P,3257,P,2795,P,2524,P,1517,P,2120,P,6648,P,6084,P,2077,P,3034,P,1789,P,1720,P,1351,P,2421,P,3333,P,1435,P,3789,P,2338,P,3386,P,2747,P,1674,P,1642,P,1344,P,1215,P,1410,P,1570,P,2103,P,2056,P,1528,P,1429,P,1226,P,1057,P,"
"
"MYL2 Myosin, light polypeptide 2, regulatory, cardiac, slow",M21812_at,893,P,657,P,504,P,984,P,881,P,524,P,529,P,458,P,486,P,590,P,578,P,580,P,670,P,319,P,655,P,687,P,557,P,574,P,890,P,622,P,1180,P,524,P,758,P,683,P,581,P,775,P,505,P,704,P,920,P,983,P,872,P,1145,P,905,P,358,P,607,P,728,P,1092,P,1296,P,"
"
HSPD1 Heat shock 60 kD protein 1 (chaperonin),M22382_at,1683,P,2409,P,3099,P,1900,P,1628,P,1589,P,3023,P,3388,P,2250,P,5156,P,2067,P,1757,P,7083,P,5634,P,919,P,3983,P,4728,P,2121,P,2399,P,1359,P,1890,P,1002,P,2016,P,2971,P,1960,P,3430,P,1175,P,1635,P,1647,P,1281,P,1164,P,824,P,2785,P,1254,P,5524,P,1819,P,967,P,911,P,"
"
NDUFV2 NADH dehydrogenase (ubiquinone) flavoprotein 2 (24kD),M22538_at,704,P,905,P,2204,P,793,P,509,P,787,P,1647,P,2337,P,1118,P,1979,P,3069,P,999,P,3064,P,719,P,844,P,1062,P,801,P,797,P,483,P,4107,P,1010,P,828,P,1721,P,953,P,1055,P,1389,P,788,P,771,P,646,P,1251,P,2877,P,3479,P,1292,P,2136,P,2119,P,1164,P,623,P,619,P,"
"
CYTOCHROME C OXIDASE POLYPEPTIDE VA PRECURSOR,M22760_at,625,P,1122,P,2318,P,660,P,538,P,827,P,859,P,1998,P,982,P,1499,P,1790,P,695,P,2264,P,3610,P,604,P,1895,P,1023,P,955,P,341,P,1594,P,1257,P,830,P,2175,P,1238,P,1528,P,2067,P,830,P,1295,P,632,P,1398,P,677,P,707,P,1194,P,1224,P,1730,P,1421,P,1005,P,411,P,"
"
"NPM1 Nucleophosmin (nucleolar phosphoprotein B23, numatrin)",M23613_at,9459,P,10292,P,12619,P,7522,P,5161,P,6711,P,7346,P,13437,P,11936,P,6731,P,12232,P,15895,P,15981,P,17810,P,7744,P,11729,P,6822,P,11033,P,10448,P,6073,P,12040,P,8241,P,14820,P,12028,P,11495,P,12217,P,9600,P,10457,P,6052,P,5887,P,5965,P,5309,P,11523,P,7993,P,9246,P,6757,P,7872,P,6362,P,"
"
Alpha-tubulin mRNA,M24194_at,16944,P,20411,P,19924,P,16665,P,19281,P,15346,P,18349,P,18596,P,22068,P,13997,P,24727,P,25933,P,17595,P,22233,P,21139,P,18221,P,17279,P,21410,P,25795,P,14183,P,19363,P,19403,P,19453,P,23133,P,20740,P,20225,P,19143,P,19389,P,17932,P,16987,P,19768,P,21441,P,18676,P,22370,P,18289,P,22569,P,19251,P,19120,P,"
"
UBA52 Ubiquitin A-52 residue ribosomal protein fusion product 1,M26880_at,6594,P,2606,P,2716,P,4891,P,7651,P,4291,P,5386,P,4326,P,4891,P,10088,P,4958,P,3132,P,13151,P,11336,P,6326,P,4840,P,9569,P,8894,P,4047,P,10565,P,6967,P,3769,P,7796,P,4218,P,8739,P,4006,P,4476,P,7105,P,5075,P,7485,P,5119,P,5077,P,6999,P,3526,P,9138,P,4223,P,6258,P,6617,P,"
"
HNRPA2B1 Heterogeneous nuclear ribonucleoprotein A2/B1,M29064_at,1513,P,1235,P,2008,P,1450,P,1185,P,911,P,3014,P,2533,P,1978,P,3580,P,838,P,1504,P,4534,P,2601,P,244,P,2688,P,1322,P,1646,P,1411,P,2221,P,2239,P,1515,P,2347,P,2096,P,1388,P,1858,P,1203,P,1183,P,1065,P,1790,P,657,P,631,P,1084,P,833,P,1409,P,969,P,1381,P,774,P,"
"
Translational initiation factor 2 beta subunit (elF-2-beta) mRNA,M29536_at,856,P,1179,P,1496,P,814,P,755,P,434,P,895,P,1786,P,1174,P,1464,P,1180,P,1095,P,2688,P,1661,P,549,P,907,P,946,P,654,P,849,P,856,P,1185,P,608,P,1404,P,1029,P,800,P,1203,P,599,P,508,P,509,P,587,P,840,P,712,P,590,P,524,P,919,P,631,P,750,P,843,P,"
"
"MYH9 Myosin, heavy polypeptide 9, non-muscle",M31013_at,2676,P,2167,P,3648,P,3703,P,1011,P,1214,P,3047,P,2638,P,1794,P,2406,P,2545,P,2095,P,3653,P,2800,P,1195,P,6132,P,1089,P,2474,P,1274,P,2983,P,2171,P,1817,P,4192,P,1563,P,1825,P,2695,P,901,P,2056,P,1464,P,4745,P,1693,P,857,P,3710,P,1767,P,3970,P,3404,P,3169,P,1953,P,"
"
Oncoprotein 18 (Op18) gene,M31303_rna1_at,3828,P,3780,P,3563,P,3330,P,4212,P,2290,P,4751,P,3347,P,3207,P,6630,P,2143,P,2292,P,5931,P,2306,P,2131,P,3182,P,2909,P,2648,P,2817,P,3021,P,7245,P,4890,P,7228,P,5054,P,3352,P,2346,P,4712,P,1648,P,2195,P,1888,P,1359,P,1291,P,2176,P,1486,P,730,P,3719,P,1985,P,1527,P,"
"
Ribosomal protein S24,M31520_at,14924,P,17099,P,16011,P,11003,P,15986,P,12394,P,15036,P,15093,P,16569,P,19782,P,15776,P,13582,P,17896,P,17917,P,16158,P,15763,P,18815,P,15989,P,18566,P,18002,P,15285,P,8759,P,15829,P,12117,P,15531,P,19190,P,13828,P,19704,P,19108,P,15481,P,17809,P,19928,P,18028,P,14659,P,17664,P,14218,P,15812,P,18797,P,"
"
HPRT1 Hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome),M31642_at,999,P,904,P,1352,P,690,P,241,M,643,P,1567,P,1254,P,551,P,1366,P,933,P,483,P,1149,P,1096,P,249,P,1125,P,485,P,613,P,344,P,550,P,1110,P,505,P,1608,P,1251,P,940,P,562,P,489,P,681,P,425,P,737,P,578,P,475,P,823,P,518,P,692,P,466,P,393,P,848,P,"
"
Protein kinase (JNK2) mRNA,M32405_at,6163,P,7942,P,8221,P,6320,P,6498,P,11769,P,6839,P,9251,P,6595,P,3957,P,6315,P,8314,P,8335,P,11735,P,4415,P,7415,P,8099,P,7582,P,4621,P,4830,P,6853,P,9394,P,8204,P,7423,P,8491,P,4844,P,7412,P,6618,P,7206,P,8050,P,8680,P,7626,P,6290,P,10268,P,4123,P,9644,P,6733,P,6640,P,"
"
PRKAR1A CAMP-dependent protein kinase regulatory subunit type I,M33336_at,1801,P,1192,P,2206,P,976,P,1286,P,209,P,1781,P,1685,P,1800,P,2752,P,1248,P,601,P,3970,P,497,P,1167,P,1597,P,653,P,721,P,747,P,781,P,1162,P,442,P,1432,P,363,P,511,P,1585,P,271,P,519,P,262,P,501,P,187,P,171,P,341,P,654,P,540,P,651,P,956,P,480,P,"
"
26-kDa cell surface protein TAPA-1 mRNA,M33680_at,5565,P,11689,P,10308,P,9427,P,4741,P,4101,P,7747,P,10614,P,6738,P,4369,P,3990,P,4555,P,12742,P,11199,P,7909,P,14682,P,3233,P,5779,P,7408,P,5318,P,2583,P,2647,P,5521,P,3094,P,4194,P,3076,P,4348,P,1467,P,1639,P,2043,P,2839,P,3588,P,3768,P,947,P,4575,P,2584,P,6412,P,3195,P,"
"
"CLAPB1 Clathrin-associated/assembly/adaptor protein, large, beta 1",M34175_at,1128,P,642,P,640,P,796,P,755,P,191,P,763,P,509,P,532,P,911,P,390,P,579,P,1933,P,372,P,553,P,749,P,576,P,676,P,743,P,755,P,1206,P,666,P,1320,P,598,P,662,P,807,P,702,P,834,P,993,P,777,P,741,P,994,P,833,P,544,P,938,P,919,P,859,P,948,P,"
"
FKBP1 FK506-binding protein 1 (12kD),M34539_at,1703,P,435,P,1081,P,537,P,809,P,393,P,1249,P,1096,P,610,P,1656,P,699,P,60,P,4829,P,500,P,185,P,728,P,1543,P,1018,P,-75,P,1845,P,339,P,782,P,2252,P,983,P,1145,P,766,P,260,P,289,P,271,P,1588,P,478,P,58,P,380,P,743,P,1945,P,1603,P,1616,P,-489,P,"
"
ARF4 ADP-ribosylation factor 4,M36341_at,775,P,689,P,835,P,675,P,614,P,321,P,586,P,715,P,618,P,1082,P,515,P,650,P,2580,P,883,P,483,P,765,P,423,P,284,P,774,P,954,P,954,P,339,P,1045,P,709,P,912,P,725,P,526,P,566,P,745,P,766,P,1038,P,1076,P,722,P,952,P,789,P,703,P,537,P,1354,P,"
"
CD53 CD53 antigen,M37033_at,6095,P,5558,P,3868,P,5292,P,4807,P,1570,P,4313,P,5622,P,5218,P,4449,P,2837,P,3736,P,12235,P,2033,P,2935,P,5006,P,2630,P,2746,P,2149,P,3794,P,4756,P,2665,P,3738,P,1895,P,1559,P,4573,P,1073,P,1600,P,1870,P,5337,P,3048,P,2977,P,2480,P,1056,P,3947,P,2879,P,3777,P,4024,P,"
"
"ATP5 ATP synthase, H+ transporting, mitochondrial",M37104_at,712,P,803,P,1200,P,591,P,617,P,623,P,999,P,1047,P,977,P,775,P,646,P,657,P,2054,P,1532,P,304,P,896,P,721,P,620,P,610,P,1129,P,1716,P,928,P,1311,P,1035,P,924,P,1214,P,853,P,712,P,562,P,897,P,656,P,646,P,772,P,684,P,930,P,1030,P,854,P,423,P,"
"
H2AZ H2AZ histone,M37583_at,2030,P,1886,P,1977,P,1376,P,1304,P,1733,P,4231,P,3327,P,1260,P,3064,P,2090,P,994,P,2977,P,4788,P,1199,P,2538,P,1868,P,1428,P,1553,P,2741,P,4259,P,3279,P,5364,P,3169,P,4217,P,2226,P,4272,P,1657,P,1466,P,2499,P,2594,P,1471,P,2854,P,2138,P,2072,P,2209,P,824,P,1673,P,"
"
UBE1 Ubiquitin activating enzyme E1,M58028_at,2450,P,2288,P,1983,P,3824,P,3263,P,1912,P,3814,P,3386,P,1683,P,2509,P,1269,P,2169,P,3864,P,404,P,940,P,2977,P,2119,P,3106,P,1364,P,2507,P,3853,P,2880,P,3545,P,2025,P,2163,P,3576,P,2683,P,1707,P,1495,P,3607,P,1320,P,1384,P,1707,P,662,P,2499,P,3934,P,1745,P,2368,P,"
"
Membrane-associated protein (HEM-1) mRNA,M58285_at,1917,P,1416,P,1749,P,824,P,1845,P,1013,P,722,P,1138,P,1283,P,933,P,1173,P,733,P,1790,P,1176,P,1162,P,1993,P,455,P,894,P,1207,P,1603,P,3199,P,1522,P,1846,P,909,P,931,P,1725,P,1023,P,1185,P,1464,P,1914,P,2171,P,2250,P,1044,P,695,P,2797,P,1238,P,1615,P,1638,P,"
"
RPS16 Ribosomal protein S16,M60854_at,19478,P,19945,P,21763,P,24850,P,18043,P,22265,P,16824,P,20157,P,20364,P,18563,P,21335,P,18835,P,17053,P,14235,P,22758,P,21226,P,21321,P,19486,P,23311,P,20027,P,21616,P,23602,P,19979,P,22476,P,22497,P,20759,P,27599,P,19700,P,17211,P,19657,P,20239,P,20708,P,19747,P,22928,P,19141,P,22522,P,20002,P,20043,P,"
"
Nucleolin gene,M60858_rna1_at,5147,P,4864,P,7901,P,3525,P,3801,P,3311,P,6607,P,6912,P,5976,P,8148,P,3015,P,6395,P,12608,P,3617,P,3523,P,7172,P,4280,P,5603,P,3767,P,5821,P,6434,P,4891,P,8615,P,7421,P,5430,P,6523,P,4932,P,4356,P,3549,P,4890,P,4242,P,4026,P,5215,P,2768,P,4724,P,4790,P,4808,P,3527,P,"
"
MATRIN 3,M63483_at,910,P,1041,P,1326,P,850,P,788,P,671,P,1548,P,1383,P,1392,P,777,P,708,P,1465,P,993,P,815,P,710,P,1701,P,962,P,436,P,1057,P,1260,P,1646,P,1244,P,1407,P,1399,P,1046,P,544,P,1182,P,1246,P,586,P,994,P,769,P,502,P,1663,P,823,P,1522,P,1474,P,1145,P,1898,P,"
"
RPS25 Ribosomal protein S25,M64716_at,13008,P,13162,P,11780,P,12189,P,13970,P,18059,P,10624,P,13174,P,12905,P,10747,P,15166,P,13288,P,11038,P,20770,P,15832,P,11477,P,15306,P,13935,P,16602,P,13342,P,13856,P,17184,P,12715,P,12916,P,14736,P,13508,P,17233,P,14178,P,15307,P,13164,P,13528,P,13722,P,12670,P,17165,P,12084,P,15683,P,12554,P,12754,P,"
"
PSMA2 Proteasome component C2,M64992_at,919,P,1055,P,1989,P,675,P,598,P,652,P,1071,P,1797,P,1344,P,1170,P,1042,P,852,P,2526,P,1555,P,690,P,1249,P,1081,P,510,P,475,P,1276,P,1443,P,956,P,1898,P,1260,P,1543,P,1151,P,815,P,856,P,569,P,991,P,1205,P,1370,P,1275,P,1713,P,1079,P,992,P,693,P,899,P,"
"
"PPP2R1B Protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform",M65254_at,352,P,302,P,260,P,418,P,439,P,176,P,245,P,237,P,315,P,507,P,610,P,250,P,359,P,214,P,205,P,289,P,241,P,474,P,763,P,199,P,586,P,307,P,355,P,328,P,300,P,308,P,296,P,287,P,312,P,295,P,336,P,287,P,294,P,158,P,226,P,410,P,350,P,463,P,"
"
CDK2 Cyclin-dependent kinase 2,M68520_at,569,P,335,P,590,P,141,P,19,P,158,M,691,P,568,P,485,P,702,P,527,P,446,P,956,P,316,P,66,P,689,P,381,P,508,P,251,P,557,P,391,P,243,P,614,P,560,P,541,P,705,P,281,P,404,P,266,P,39,P,401,P,241,P,718,P,326,P,293,P,65,P,406,P,265,P,"
"
"PRE-MRNA SPLICING FACTOR SF2, P32 SUBUNIT PRECURSOR",M69039_at,403,P,709,P,1630,P,877,P,628,P,646,P,872,P,1582,P,1137,P,1581,P,451,P,770,P,2519,P,1897,P,513,P,1288,P,691,P,609,P,948,P,1063,P,859,P,723,P,1451,P,1023,P,1328,P,1061,P,817,P,969,P,817,P,425,P,819,P,631,P,782,P,560,P,1048,P,1120,P,618,P,453,P,"
"
MSN Moesin,M69066_at,6766,P,2771,P,4822,P,2915,P,5195,P,5543,P,9053,P,4825,P,4220,P,13552,P,4453,P,2841,P,7957,P,1391,P,2349,P,5840,P,4764,P,7278,P,1927,P,8229,P,6972,P,3639,P,9057,P,5331,P,7209,P,8407,P,2434,P,7423,P,3335,P,6546,P,3575,P,8954,P,6600,P,4067,P,9413,P,5744,P,6837,P,7242,P,"
"
Arginine-rich nuclear protein mRNA,M74002_at,1210,P,1107,P,1706,P,1606,P,962,P,698,P,1471,P,1505,P,1043,P,2397,P,994,P,913,P,3847,P,3651,P,1729,P,1542,P,942,P,771,P,547,P,2149,P,1501,P,679,P,1365,P,793,P,2790,P,1749,P,945,P,2446,P,1187,P,1356,P,1301,P,2868,P,1431,P,988,P,1176,P,922,P,1243,P,1063,P,"
"
ARF3 ADP-ribosylation factor 3,M74491_at,1815,P,1821,P,1870,P,2690,P,2313,P,997,P,2188,P,1840,P,1990,P,2748,P,1080,P,2338,P,1692,P,1223,P,740,P,3010,P,854,P,2061,P,2043,P,1790,P,2659,P,1911,P,3345,P,1520,P,869,P,986,P,1077,P,2917,P,1959,P,3343,P,1257,P,712,P,2451,P,1393,P,3110,P,3812,P,1631,P,2501,P,"
"
Ribosomal protein S6 gene and flanking regions,M77232_rna1_at,13058,P,16647,P,18333,P,16371,P,11830,P,11966,P,14187,P,17094,P,15411,P,10241,P,13517,P,14236,P,20034,P,19552,P,14008,P,18481,P,13587,P,12488,P,9625,P,19729,P,10712,P,11254,P,18133,P,16922,P,12208,P,18532,P,15216,P,18305,P,16663,P,12405,P,17143,P,17643,P,17816,P,14377,P,17815,P,15094,P,17427,P,15673,P,"
"
TRANSCRIPTION ELONGATION FACTOR S-II,M81601_at,1467,P,1022,P,1279,P,1268,P,800,P,1098,P,2944,P,1644,P,1733,P,2504,P,1252,P,1511,P,4254,P,2599,P,1098,P,1354,P,971,P,791,P,965,P,2088,P,2086,P,1026,P,2189,P,1164,P,1771,P,1608,P,1173,P,799,P,759,P,1198,P,1552,P,1699,P,1359,P,875,P,831,P,1173,P,1678,P,1480,P,"
"
40S RIBOSOMAL PROTEIN S19,M81757_at,19295,P,18865,P,21388,P,13513,P,18828,P,21378,P,18714,P,23890,P,25834,P,19313,P,21981,P,22046,P,20514,P,13544,P,18006,P,22750,P,21758,P,18764,P,14874,P,21939,P,18478,P,13146,P,21360,P,16016,P,19195,P,21071,P,15036,P,18349,P,18019,P,15275,P,19938,P,21059,P,20628,P,20790,P,18470,P,23093,P,23367,P,18823,P,"
"
Arginine-rich protein (ARP) gene,M83751_at,554,P,290,P,893,P,126,P,382,P,196,P,1140,P,890,P,518,P,923,P,393,P,574,P,2185,P,302,P,270,P,650,P,735,P,546,P,197,P,1006,P,912,P,138,P,1751,P,1091,P,568,P,367,P,195,P,298,P,214,P,743,P,104,P,500,P,368,P,250,P,1173,P,650,P,196,P,398,P,"
"
ARF1 ADP-ribosylation factor 1,M84332_at,3248,P,3042,P,2903,P,2977,P,4906,P,2592,P,2667,P,2865,P,2850,P,3477,P,2480,P,2580,P,5266,P,1800,P,4675,P,3514,P,2736,P,2349,P,2096,P,5401,P,5736,P,2791,P,6216,P,3527,P,4918,P,3245,P,3010,P,3522,P,1704,P,6139,P,4878,P,4839,P,5224,P,2876,P,4446,P,4217,P,6063,P,6354,P,"
"
RPS3A Ribosomal protein S3A,M84711_at,15442,P,17589,P,17797,P,15316,P,17448,P,17089,P,18015,P,14147,P,16670,P,12872,P,13209,P,16025,P,9861,P,22218,P,12206,P,20515,P,11963,P,13848,P,19038,P,17789,P,19702,P,12827,P,18902,P,16346,P,11898,P,11890,P,13290,P,18554,P,17355,P,12383,P,4847,P,4862,P,18179,P,13557,P,16104,P,15029,P,13847,P,19478,P,"
"
"YWHAZ Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide",M86400_at,6534,P,5832,P,6279,P,4350,P,6609,P,3417,P,11259,P,6404,P,8024,P,9332,P,2797,P,5195,P,9910,P,3615,P,6738,P,5995,P,4889,P,4125,P,3724,P,7503,P,9816,P,5395,P,11016,P,7656,P,6101,P,5407,P,4032,P,3433,P,1623,P,6679,P,4384,P,3189,P,5108,P,2978,P,10029,P,4763,P,5947,P,6923,P,"
"
HnRNP C2 protein mRNA,M86667_at,2283,P,2921,P,3814,P,1648,P,808,P,1749,P,2584,P,3624,P,2729,P,4860,P,3079,P,2382,P,6410,P,9815,P,1460,P,3494,P,1870,P,2221,P,1589,P,2300,P,2500,P,1449,P,3488,P,3492,P,4536,P,2475,P,2195,P,3370,P,1445,P,1499,P,1979,P,2102,P,2146,P,1521,P,2628,P,1594,P,2379,P,1938,P,"
"
P62 mRNA,M88108_at,1988,P,1822,P,2202,P,1360,P,1675,P,744,P,2154,P,2533,P,1744,P,3508,P,1457,P,1582,P,4823,P,2098,P,1519,P,2575,P,1182,P,1533,P,1010,P,2137,P,1781,P,1694,P,2824,P,1969,P,2963,P,2519,P,1862,P,1725,P,1009,P,1141,P,1515,P,1191,P,1643,P,1691,P,1450,P,1676,P,2145,P,1442,P,"
"
SSBP Single-stranded DNA-binding protein,M94556_at,814,P,987,P,1958,P,566,P,526,P,227,P,1280,P,1241,P,990,P,1683,P,711,P,741,P,3117,P,2577,P,264,P,990,P,754,P,1189,P,602,P,943,P,1607,P,629,P,1792,P,1047,P,682,P,1366,P,855,P,924,P,745,P,854,P,635,P,516,P,804,P,730,P,860,P,715,P,858,P,643,P,"
"
"Heterogeneous nuclear ribonucleoprotein D (hnRNP D), partial cds, clone cDx4",M94630_at,3364,P,2583,P,2747,P,3108,P,1738,P,1460,P,3016,P,3151,P,2175,P,4525,P,1533,P,2229,P,4867,P,1730,P,1535,P,2826,P,1791,P,1454,P,854,P,2491,P,3021,P,3367,P,5094,P,2672,P,2408,P,2623,P,2386,P,2376,P,2084,P,2896,P,3018,P,2530,P,3143,P,1615,P,2502,P,2814,P,2151,P,1548,P,"
"
"FATTY ACID-BINDING PROTEIN, EPIDERMAL",M94856_at,363,P,888,P,2064,P,719,P,488,P,429,P,2163,P,1359,P,809,P,1042,P,419,P,458,P,2700,P,833,P,260,P,1773,P,573,P,452,P,650,P,1049,P,2027,P,709,P,1716,P,1221,P,772,P,1411,P,901,P,591,P,577,P,817,P,520,P,246,P,955,P,129,P,1345,P,473,P,606,P,1049,P,"
"
Angio-associated migratory cell protein (AAMP) mRNA,M95627_at,1228,P,1095,P,1197,P,1883,P,1836,P,744,P,1500,P,1332,P,1294,P,1620,P,970,P,1217,P,2461,P,537,P,894,P,1483,P,990,P,1227,P,1605,P,1054,P,1926,P,1241,P,1660,P,1123,P,1144,P,1450,P,1046,P,1275,P,1113,P,1568,P,1436,P,1676,P,1309,P,695,P,1381,P,1748,P,1467,P,1801,P,"
"
SATB1 Special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNA's),M97287_at,1122,P,1083,P,534,P,1796,P,2137,P,688,P,1003,P,2771,P,1701,P,2635,P,271,P,1263,P,4033,P,1476,P,605,P,1732,P,1848,P,964,P,1124,P,3212,P,1882,P,1111,P,1179,P,949,P,996,P,653,P,1424,P,1316,P,841,P,769,P,1071,P,1178,P,1861,P,1171,P,1034,P,1157,P,2744,P,1207,P,"
"
